tweet,clean,ingles,sent_TextBlob,sent_Vader,sent_flair
"RT @C5N: ⭕ #ALERTA 

Las primeras dosis de la vacuna de Pfizer-BioNTech llegarían a los hospitales del Reino Unido en 10 días, según el dia…","RT  ⭕  

Las primeras dosis de la vacuna de Pfizer-BioNTech llegarían a los hospitales del Reino Unido en 10 días, según el dia…","RT ⭕

The first doses of the Pfizer-BioNTech vaccine would reach UK hospitals in 10 days, depending on the day ...",0.25,0.0258,-0.9831993579864502
"Sin vacuna efectiva contra COVID-19, ¡no habrá clases!

El mayor problema que enfrenta la UAAAN es la falta de conectividad que enfrentan los alumnos que vienen en comunidades rurales

#Coahuila #Saltillo #UAAAN https://t.co/tWhurjKngq","Sin vacuna efectiva contra COVID-19, ¡no habrá clases!

El mayor problema que enfrenta la UAAAN es la falta de conectividad que enfrentan los alumnos que vienen en comunidades rurales

   ","Without an effective COVID-19 vaccine, there will be no school!

The biggest problem that UAAAN faces is the lack of connectivity faced by students who come from rural communities",0.375,-0.842,-0.9996206760406494
"Fui al seguro, y una doctora le pregunta a otra que si en que brazo se pone la vacuna de la varicela y le responde que en el brazo que sea,y dice en el izquierdo por que duele más JAJAJAJAJ pinche vieja culera🤣🤣🤣🤣✌","Fui al seguro, y una doctora le pregunta a otra que si en que brazo se pone la vacuna de la varicela y le responde que en el brazo que sea,y dice en el izquierdo por que duele más JAJAJAJAJ pinche vieja culera🤣🤣🤣🤣✌","I went to the insurance, and a doctor asks another if in which arm he gets the chickenpox vaccine and he answers that in whatever arm it is, and says on the left why it hurts more JAJAJAJAJ fucking old asshole🤣🤣🤣🤣 ✌",0.19999999999999998,0.9169,-0.9999786615371704
Voy a tener que ir hasta allá a ponerme la vacuna https://t.co/89JcTq3uxV,Voy a tener que ir hasta allá a ponerme la vacuna ,I'm going to have to go there to get the vaccine,0.0,0.0,-0.9996384382247925
"Y México 
No aparece en la lista porque están dando del alta a la empresa que le hicieron el pedido de la 
VACUNA COVID 
#VxM 
#VotoUtil2021 https://t.co/evfniMDTZO","Y México 
No aparece en la lista porque están dando del alta a la empresa que le hicieron el pedido de la 
VACUNA COVID 
 
 ","And Mexico
It does not appear on the list because they are registering the company that made the request for the
COVID VACCINE",0.0,0.0,-0.9995571970939636
"RT @C5N: ⭕ #ALERTA 

Las primeras dosis de la vacuna de Pfizer-BioNTech llegarían a los hospitales del Reino Unido en 10 días, según el dia…","RT  ⭕  

Las primeras dosis de la vacuna de Pfizer-BioNTech llegarían a los hospitales del Reino Unido en 10 días, según el dia…","RT ⭕

The first doses of the Pfizer-BioNTech vaccine would reach UK hospitals in 10 days, depending on the day ...",0.25,0.0258,-0.9831993579864502
"Esta noche va a ser dura, tengo la contractura peor, un ardor muy muy fuerte, dolor de cuello y encima dolor en el brazo por la vacuna de la tosferina. No se como voy a dormir esta noche 😭 https://t.co/OTHcCEVqyB","Esta noche va a ser dura, tengo la contractura peor, un ardor muy muy fuerte, dolor de cuello y encima dolor en el brazo por la vacuna de la tosferina. No se como voy a dormir esta noche 😭 ","Tonight is going to be hard, I have the worst contracture, a very very strong burning, neck pain and on top of it pain in the arm from the pertussis vaccine. I don't know how I'm going to sleep tonight 😭",-0.05708333333333335,-0.8601,-0.999842643737793
"#Pandemia | Esta por arrancar entre voluntarios #poblanos, el estudio clínico de la #vacuna china contra el #COVID19. https://t.co/bjHfjWiMpx", | Esta por arrancar entre voluntarios  el estudio clínico de la  china contra el  ,| The Chinese clinical study against the virus is about to start among volunteers.,0.0,0.0,-0.9993987083435059
"RT @elsalvador: #DePaís @ARENAOFICIAL y @FMLNoficial se oponen a la vacuna contra #COVID19 de #AstraZeneca y #Oxford

https://t.co/Jsv5tdnv…","RT    y  se oponen a la vacuna contra  de  y 

",RT and oppose the vaccine against and,0.0,0.0,-0.9756799340248108
"RT @CNNEE: Es correcto que el Reino Unido evalúe la vacuna experimental de AstraZeneca contra el covid-19, según infectólogo.
https://t.co/…","RT  Es correcto que el Reino Unido evalúe la vacuna experimental de AstraZeneca contra el covid-19, según infectólogo.
","RT It is correct that the United Kingdom is evaluating AstraZeneca's experimental vaccine against covid-19, according to infectologist.",0.1,0.4215,-0.9982450008392334
